latitude,longitude,max_wind_speed
17.3,120.7,2.662567
17.3,120.8,2.5915992
17.3,120.9,3.065801
17.3,121.0,3.1782458
17.3,121.1,2.8218596
17.3,121.2,2.471162
17.3,121.3,2.1327353
17.3,121.4,2.0085578
17.3,121.5,2.1676154
17.3,121.6,2.3367333
17.3,121.7,2.620575
17.3,121.8,2.6891901
17.3,121.9,2.0253408
17.3,122.0,1.6699798
17.3,122.1,2.2219362
17.3,122.2,2.5995338
17.3,122.3,3.0620508
17.2,120.5,6.1168647
17.2,120.6,3.2380514
17.2,120.7,2.168578
17.2,120.8,2.371534
17.2,120.9,2.9412882
17.2,121.0,3.1117268
17.2,121.1,2.7283182
17.2,121.2,2.2947488
17.2,121.3,1.9707237
17.2,121.4,1.8036267
17.2,121.5,2.097875
17.2,121.6,2.182172
17.2,121.7,2.552752
17.2,121.8,2.730237
17.2,121.9,2.2124941
17.2,122.0,2.0248654
17.2,122.1,2.5353873
17.2,122.2,2.9356015
17.2,122.3,3.268975
17.2,122.4,3.625353
17.1,120.5,4.93923
17.1,120.6,2.635638
17.1,120.7,2.1528537
17.1,120.8,2.0969434
17.1,120.9,3.0892353
17.1,121.0,3.293639
17.1,121.1,2.8466494
17.1,121.2,2.4375792
17.1,121.3,1.8359131
17.1,121.4,1.636437
17.1,121.5,1.909756
17.1,121.6,2.1420941
17.1,121.7,2.5737762
17.1,121.8,2.8458512
17.1,121.9,2.3847182
17.1,122.0,2.4920712
17.1,122.1,2.962064
17.1,122.2,3.2384665
17.1,122.3,3.3537114
17.1,122.4,4.1245604
17.1,122.5,5.498587
17.0,120.5,4.6342587
17.0,120.6,2.598329
17.0,120.7,2.1145728
17.0,120.8,2.1972363
17.0,120.9,3.2405894
17.0,121.0,3.2958062
17.0,121.1,2.8217568
17.0,121.2,2.4104924
17.0,121.3,1.8577555
17.0,121.4,1.720611
17.0,121.5,1.9712957
17.0,121.6,2.2664096
17.0,121.7,2.6296434
17.0,121.8,2.869954
17.0,121.9,2.4823446
17.0,122.0,2.842601
17.0,122.1,3.3061516
17.0,122.2,3.4225924
17.0,122.3,3.5489006
17.0,122.4,4.264115
16.9,120.4,5.1090083
16.9,120.5,3.932907
16.9,120.6,2.2888691
16.9,120.7,2.071945
16.9,120.8,2.2732654
16.9,120.9,3.1995811
16.9,121.0,2.999571
16.9,121.1,2.4149504
16.9,121.2,2.1389182
16.9,121.3,1.7340341
16.9,121.4,1.7120275
16.9,121.5,1.8771404
16.9,121.6,2.170294
16.9,121.7,2.5349047
16.9,121.8,2.8045998
16.9,121.9,2.5061417
16.9,122.0,2.7808304
16.9,122.1,3.177753
16.9,122.2,3.6863918
16.9,122.3,3.7986765
16.9,122.4,4.5728483
16.8,120.4,4.1315656
16.8,120.5,2.8992298
16.8,120.6,1.9483558
16.8,120.7,2.026903
16.8,120.8,2.3476555
16.8,120.9,3.1348078
16.8,121.0,2.8973634
16.8,121.1,2.1478767
16.8,121.2,1.8672242
16.8,121.3,1.7783974
16.8,121.4,1.7589302
16.8,121.5,1.9237726
16.8,121.6,1.972635
16.8,121.7,2.4108744
16.8,121.8,2.7051346
16.8,121.9,2.4380019
16.8,122.0,2.4838533
16.8,122.1,2.8464305
16.8,122.2,3.5818706
16.8,122.3,4.0666227
16.8,122.4,4.492604
16.7,120.4,3.238906
16.7,120.5,2.4337654
16.7,120.6,1.5831411
16.7,120.7,1.978598
16.7,120.8,2.3956673
16.7,120.9,2.9992585
16.7,121.0,2.8740668
16.7,121.1,2.2510235
16.7,121.2,1.9695567
16.7,121.3,1.8322918
16.7,121.4,1.8470986
16.7,121.5,1.9512309
16.7,121.6,2.0719526
16.7,121.7,2.3694165
16.7,121.8,2.6649342
