osm_id,man_made,tower_type,telecom,communication_mobile_phone,name,geometry
9033545004,tower,communication,,,Smart Cellsite,POINT (120.7591553 14.0809271)
,tower,communication,,,,"POLYGON ((120.7906535 14.0928254, 120.7907593 14.0926794, 120.790615 14.0925811, 120.7905092 14.092727, 120.7906535 14.0928254))"
9027799860,tower,communication,,,Globe Cellsite,POINT (120.8220189 14.094659)
,tower,communication,,,,"POLYGON ((120.8220439 14.0947532, 120.8221169 14.0946424, 120.8219964 14.0945676, 120.8219233 14.0946784, 120.8220439 14.0947532))"
2188387806,tower,communication,,,,POINT (120.8810325 14.095985)
2188387808,tower,communication,,,,POINT (120.8810461 14.096059700000001)
2173348371,tower,communication,,,,POINT (120.8538623 14.142463600000001)
931621532,tower,communication,,,,POINT (120.8582262 14.177202300000001)
10747621521,tower,communication,,,,POINT (120.7980378 14.183507100000002)
924169068,tower,communication,,,,POINT (120.7980976 14.1844084)
9027543034,tower,communication,,,Smart Cellsite,POINT (120.87824450000001 14.254355)
,tower,communication,,,,"POLYGON ((120.8781811 14.2544167, 120.8782971 14.2544264, 120.8783087 14.2542973, 120.8781927 14.2542875, 120.8781811 14.2544167))"
5458652536,tower,communication,,,656 SMART TMC,POINT (120.86832530000001 14.2806197)
4432138659,tower,communication,,,,POINT (120.87130040000001 14.280956100000001)
1124387843,,,,,,"LINESTRING (120.8586813 14.2919038, 120.8588187 14.2917784, 120.8591245 14.291844, 120.8593384 14.2919096, 120.8595376 14.2919733, 120.8597515 14.292037, 120.8598715 14.2921175, 120.8598373 14.2923333, 120.8597904 14.2926497, 120.8597434 14.2929909, 120.8597729 14.2930786, 120.859903 14.2932092)"
1124387844,,,,,,"LINESTRING (120.8582374 14.2918316, 120.8584861 14.2917952, 120.8586813 14.2919038, 120.858804 14.2921045, 120.8589562 14.2922605, 120.8591158 14.2924262, 120.8592432 14.2925601, 120.8593914 14.2927537, 120.8591473 14.2929928, 120.858983 14.2931416, 120.8588503 14.2932716, 120.8586933 14.2934178, 120.8584882 14.2935854)"
1124387842,,,,,,"LINESTRING (120.8577164 14.292844, 120.8579658 14.2930481, 120.8580791 14.2931683, 120.858297 14.2933866, 120.8584882 14.2935854, 120.8586739 14.2937713, 120.8588174 14.2939181, 120.8589743 14.2940741, 120.859154 14.2941449)"
1124387840,,,,,,"LINESTRING (120.8572272 14.292565, 120.8574596 14.2927997, 120.8576126 14.2929415, 120.857813 14.2931565, 120.8580325 14.2933781, 120.858219 14.2935664, 120.8585152 14.2938654, 120.8587305 14.2940828, 120.8589528 14.2943743, 120.8586565 14.294551, 120.8584794 14.2947161)"
688782728,,,,,,"LINESTRING (120.8577164 14.292844, 120.8576126 14.2929415, 120.8574682 14.2931813, 120.8572134 14.2934295, 120.8570391 14.2936075, 120.8567614 14.2938662, 120.8564866 14.2941222, 120.8563325 14.2942699, 120.8561562 14.294439, 120.8561365 14.294616)"
1124387838,,,,,,"LINESTRING (120.855922 14.2938012, 120.8561043 14.2939961, 120.8563325 14.2942699)"
884652100,,,,,,"LINESTRING (120.8560641 14.2936686, 120.8562961 14.2939038, 120.8564866 14.2941222, 120.8567711 14.294283, 120.8569891 14.2945046, 120.8572122 14.2947314, 120.8574257 14.2949484, 120.8576474 14.2951738, 120.8578961 14.2953841)"
