osm_id,pipeline,man_made,amenity,name,geometry
,,,fuel,Peso Oil,"POLYGON ((120.4907767 14.7910797, 120.4908572 14.7911057, 120.4908961 14.7908593, 120.4906467 14.7907718, 120.4905689 14.7909643, 120.4907767 14.7910797))"
,,,fuel,Gulf,"POLYGON ((120.5380434 14.7933335, 120.5379486 14.7933229, 120.5379335 14.79345, 120.5379291 14.7934866, 120.5379198 14.793565, 120.5381356 14.793589, 120.5383602 14.793614, 120.538389 14.7933719, 120.5380434 14.7933335))"
,,,fuel,Shell,"POLYGON ((120.4891977 14.7990449, 120.4892935 14.7986662, 120.4889088 14.7985752, 120.488813 14.7989539, 120.4891977 14.7990449))"
,,,fuel,RBP Gasoline Station,"POLYGON ((120.5232249 14.8008226, 120.523268 14.8006841, 120.5231932 14.8006624, 120.5231502 14.8008008, 120.5232249 14.8008226))"
6008696985,,,fuel,FilOil,POINT (120.52714080000001 14.801513600000002)
,,,fuel,PTT,"POLYGON ((120.5325897 14.8033775, 120.5325255 14.8034403, 120.5326577 14.8035666, 120.5327218 14.8035038, 120.5325897 14.8033775))"
,,,fuel,Caltex,"POLYGON ((120.541354 14.8035888, 120.5413496 14.8034313, 120.541166 14.8034361, 120.5411704 14.8035937, 120.541354 14.8035888))"
5094600025,,,fuel,Petron Orani,POINT (120.53189300000001 14.8039587)
,,,fuel,Petron Hermosa,"POLYGON ((120.4820299 14.8246307, 120.4817471 14.8244157, 120.4815486 14.8247632, 120.4818624 14.8249071, 120.4820299 14.8246307))"
5031470522,,,fuel,Pentagas,POINT (120.50926500000001 14.829295400000001)
,,,fuel,Vortex Fuel,"POLYGON ((120.4952234 14.8333527, 120.4952089 14.8332905, 120.4950794 14.8333187, 120.4950939 14.8333809, 120.4952234 14.8333527))"
,,,fuel,Planet Gas,"POLYGON ((120.4777533 14.8356156, 120.4773697 14.8352967, 120.477249 14.8356843, 120.4774837 14.8359151, 120.4777533 14.8356156))"
,,,fuel,Caltex,"POLYGON ((120.4768722 14.8361108, 120.4767716 14.8359941, 120.4765128 14.8362832, 120.4767823 14.8364777, 120.4768722 14.8361108))"
,,,fuel,,"POLYGON ((120.4752126 14.8423172, 120.4750127 14.8420832, 120.4747351 14.8424832, 120.4748706 14.8426232, 120.4752126 14.8423172))"
,,,fuel,EcoOil,"POLYGON ((120.4739278 14.8439954, 120.4738708 14.8439636, 120.4739727 14.8438275, 120.4738654 14.8437393, 120.4736777 14.8439824, 120.4738446 14.8441017, 120.4739278 14.8439954))"
,,,fuel,RePhil,"POLYGON ((120.4726645 14.8460397, 120.4726712 14.8457325, 120.4724962 14.8456294, 120.4723238 14.8458938, 120.4726115 14.8460779, 120.4726645 14.8460397))"
,,,fuel,Total,"POLYGON ((120.4715098 14.8466949, 120.4713499 14.8465814, 120.4712158 14.8465269, 120.4711128 14.8467519, 120.4712201 14.8468038, 120.4713917 14.8469231, 120.4715634 14.8467001, 120.4715098 14.8466949))"
,,,fuel,Vortex,"POLYGON ((120.5786861 14.4514007, 120.5786622 14.4513386, 120.5785232 14.4513888, 120.5785472 14.4514509, 120.5786861 14.4514007))"
,,,fuel,Seaoil,"POLYGON ((120.5634202 14.4576892, 120.5633667 14.4574932, 120.5628772 14.4575724, 120.562896 14.4577672, 120.5634202 14.4576892))"
,,,fuel,PTT,"POLYGON ((120.5898336 14.4582928, 120.5897905 14.4582293, 120.5897209 14.4582736, 120.589764 14.4583371, 120.5898336 14.4582928))"
,,,fuel,Caltex,"POLYGON ((120.5893925 14.5580896, 120.5893865 14.5578882, 120.5891801 14.557894, 120.5891285 14.5578954, 120.5891317 14.5580044, 120.5891345 14.5580968, 120.5893925 14.5580896))"
,,,fuel,JSEN,"POLYGON ((120.589875 14.5627512, 120.589993 14.562833, 120.5901714 14.5626098, 120.5897838 14.5626098, 120.5897798 14.5628356, 120.589875 14.5627512))"
,,,fuel,Petron,"POLYGON ((120.5901606 14.5642803, 120.5901512 14.5640583, 120.589828 14.5641206, 120.5898318 14.5642852, 120.5901606 14.5642803))"
,,,fuel,,"POLYGON ((120.5835743 14.5936951, 120.5836189 14.5933532, 120.5832265 14.5933052, 120.5831819 14.5936471, 120.5835743 14.5936951))"
,,,fuel,,"POLYGON ((120.564111 14.6160648, 120.5640485 14.6160207, 120.5638495 14.6160142, 120.5635598 14.6160129, 120.5634566 14.6162011, 120.5636121 14.6165969, 120.564111 14.6160648))"
,,,fuel,Shell,"POLYGON ((120.6299672 14.0787701, 120.6297847 14.0786101, 120.6296158 14.0787963, 120.6297861 14.0789497, 120.6299672 14.0787701))"
,,,fuel,Phoenix,"POLYGON ((120.6268932 14.0795229, 120.6269464 14.0791843, 120.6266484 14.0791403, 120.6265952 14.0794789, 120.6268932 14.0795229))"
6127724666,,,fuel,,POINT (120.62429560000001 14.082326700000001)
,,,fuel,Petron,"POLYGON ((120.6240989 14.0830361, 120.6241653 14.083075, 120.6241994 14.0830201, 120.624133 14.0829813, 120.6240989 14.0830361))"
4588406692,,,fuel,,POINT (120.62947670000001 14.164226800000002)
,,,fuel,Uno Fuel,"POLYGON ((120.7253641 14.2822813, 120.7254732 14.28249, 120.7257829 14.2823681, 120.7256514 14.2821327, 120.7253641 14.2822813))"
,,,fuel,Jetti,"POLYGON ((120.7241014 14.2828919, 120.7241918 14.2830703, 120.7244837 14.2829314, 120.7243933 14.282753, 120.7241014 14.2828919))"
,,,fuel,Oiland,"POLYGON ((120.7217796 14.2841029, 120.7218614 14.2840691, 120.7218385 14.2840171, 120.7217567 14.2840509, 120.7217796 14.2841029))"
,,,fuel,Flying V,"POLYGON ((120.578913 14.6171881, 120.5789489 14.6171097, 120.5788998 14.6170887, 120.5788639 14.617167, 120.578913 14.6171881))"
11064289105,,,fuel,,POINT (120.56970910000001 14.617619800000002)
,,,fuel,Petron,"POLYGON ((120.5613859 14.6190514, 120.5611579 14.6189184, 120.5610144 14.6192545, 120.5611539 14.6193324, 120.5613859 14.6190514))"
,,,fuel,Total,"POLYGON ((120.5764284 14.6257636, 120.576491 14.6255409, 120.5762534 14.6254898, 120.5761682 14.6257007, 120.5764284 14.6257636))"
,,,fuel,Gulf,"POLYGON ((120.5749374 14.6284276, 120.5749876 14.6283622, 120.5748651 14.6282742, 120.5748149 14.6283397, 120.5749374 14.6284276))"
,,,fuel,Petron,"POLYGON ((120.5752303 14.6284523, 120.5752863 14.6284763, 120.5753146 14.6284146, 120.5752646 14.6283932, 120.5751907 14.6283615, 120.5751624 14.6284232, 120.5752303 14.6284523))"
,,,fuel,Jsen Gas Station,"POLYGON ((120.5508167 14.6305778, 120.5510245 14.6304079, 120.5509977 14.6302807, 120.550767 14.6302781, 120.5507469 14.6305389, 120.5508167 14.6305778))"
9860874787,,,fuel,Shell,POINT (120.5511948 14.6308114)
,,,fuel,Total,"POLYGON ((120.5565079 14.6663162, 120.5566629 14.6662409, 120.5565703 14.6660626, 120.5564154 14.6661379, 120.5565079 14.6663162))"
,,,fuel,Jetti,"POLYGON ((120.5485649 14.6722845, 120.5482377 14.6719615, 120.5480808 14.6721755, 120.548345 14.6725142, 120.5485649 14.6722845))"
,,,fuel,Total,"POLYGON ((120.5966127 14.4626284, 120.5965187 14.4625572, 120.5965574 14.4625094, 120.5964578 14.4624339, 120.5963029 14.4626257, 120.5964965 14.4627723, 120.5966127 14.4626284))"
,,,fuel,Caltex,"POLYGON ((120.6008125 14.4911431, 120.60085 14.491095, 120.6007488 14.4910211, 120.6007113 14.4910691, 120.6008125 14.4911431))"
,,,fuel,Planet Gas,"POLYGON ((120.59971 14.4976102, 120.5996592 14.4975052, 120.5996027 14.4975308, 120.5996535 14.4976358, 120.59971 14.4976102))"
,,,fuel,Petron,"POLYGON ((120.5941208 14.5301129, 120.594136 14.5300375, 120.593916 14.529996, 120.5939009 14.5300714, 120.5941208 14.5301129))"
2700710335,,,fuel,FilOil,POINT (120.59520280000001 14.559144000000002)
,,,fuel,Green Oil,"POLYGON ((120.5954935 14.5671048, 120.5955291 14.5669944, 120.5952662 14.5669107, 120.595228 14.567058, 120.5954935 14.5671048))"
,,,fuel,Petron,"POLYGON ((120.6224169 14.9369128, 120.6224709 14.9368211, 120.6222685 14.9367186, 120.6222185 14.9368154, 120.6224169 14.9369128))"
,,,fuel,Shell,"POLYGON ((120.621859 14.9368218, 120.6218261 14.9368095, 120.621775 14.9369527, 120.62181 14.9369668, 120.621824 14.9369289, 120.6219139 14.9369562, 120.6220259 14.9370015, 120.6220658 14.9369176, 120.621859 14.9368218))"
,,,fuel,FilOil,"POLYGON ((120.5983072 14.9430227, 120.5981335 14.9429546, 120.5980966 14.9431075, 120.5982609 14.9431645, 120.5983072 14.9430227))"
,,,fuel,Shell,"POLYGON ((120.5975326 14.944106, 120.5976324 14.9441359, 120.5976914 14.9438631, 120.5975299 14.9438261, 120.5975375 14.9437998, 120.5974128 14.9437763, 120.5973171 14.9439642, 120.5975326 14.944106))"
