osm_id,railway,name,gauge,electrified,voltage,geometry
1415095610,rail,,1067,no,,"LINESTRING (121.1585267 14.2052672, 121.1581825 14.2058874)"
1415095611,rail,,1067,no,,"LINESTRING (121.1582544 14.2059234, 121.1585957 14.2053026)"
1415095609,rail,,1067,no,,"LINESTRING (121.1581825 14.2058874, 121.1580094 14.206218)"
1415095612,rail,,1067,no,,"LINESTRING (121.1580767 14.2062516, 121.1582544 14.2059234)"
7383935450,switch,,,,,POINT (121.1583289 14.2062267)
576291653,rail,PNR South Main Line,1067,no,,"LINESTRING (121.159465 14.2039208, 121.1594617 14.2039306, 121.1594085 14.2040624, 121.1592573 14.2044709, 121.1591537 14.2047209, 121.1591033 14.2048324, 121.1590489 14.2049426, 121.1579952 14.2069449, 121.1574542 14.2079715, 121.157296 14.2082598, 121.1572842 14.2082812, 121.1572637 14.2083136, 121.1572396 14.2083441, 121.1571951 14.208407, 121.1571202 14.2085127, 121.1571058 14.2085344, 121.1570926 14.2085569, 121.1570192 14.2086949)"
1415095615,rail,,1067,,,"LINESTRING (121.1578334 14.2067131, 121.1578418 14.2066893, 121.1578519 14.2066666, 121.1580767 14.2062516)"
789759105,rail,,1067,no,,"LINESTRING (121.1570926 14.2085569, 121.1574225 14.2079355, 121.157514 14.207763, 121.1583289 14.2062267, 121.1590177 14.204928, 121.1592331 14.2045219, 121.1592458 14.2044966, 121.1592573 14.2044709)"
1415095614,rail,,1067,no,,"LINESTRING (121.1583916 14.205929, 121.1582559 14.2061822, 121.1582203 14.2062423, 121.1581814 14.2062999, 121.1581057 14.2063993, 121.1580688 14.2064512, 121.1580359 14.2065046, 121.1579856 14.2065891, 121.1577279 14.2070784, 121.1577188 14.2070991, 121.1577113 14.2071202)"
13003695388,switch,,,,,POINT (121.1578334 14.206713100000002)
1415095616,rail,,1067,no,,"LINESTRING (121.1580094 14.206218, 121.157915 14.2064266, 121.1578844 14.206521, 121.1578334 14.2067131, 121.1577113 14.2071202, 121.15764 14.2073561)"
2924555722,stop,,,,,POINT (121.1579952 14.206944900000002)
,platform,,,,,"POLYGON ((121.158253 14.2064879, 121.1577457 14.2074542, 121.1577732 14.2074677, 121.1582804 14.2065014, 121.158253 14.2064879))"
13003695353,station,Calamba,,,,POINT (121.1580404 14.206994000000002)
789759103,rail,,1067,no,,"LINESTRING (121.157514 14.207763, 121.1575215 14.2077448, 121.1575275 14.2077278, 121.15764 14.2073561, 121.1576493 14.2073297, 121.157661 14.2073047, 121.1579226 14.2068069, 121.1579817 14.2067, 121.1580466 14.2065963, 121.158116 14.2064981, 121.1581906 14.2064035, 121.1583071 14.2062592, 121.1583186 14.2062433, 121.1583289 14.2062267)"
13003695391,switch,,,,,POINT (121.1577113 14.2071202)
13003695394,switch,,,,,POINT (121.15764 14.2073561)
7383935439,switch,,,,,POINT (121.157514 14.207763000000002)
1414025485,switch,,,,,POINT (121.15709260000001 14.208556900000001)
1261615143,switch,,,,,POINT (121.14841870000001 14.225577300000001)
