osm_id,amenity,building,healthcare,name,geometry
,clinic,,clinic,Paombong Rural Health Unit,"POLYGON ((120.7883672 14.8353333, 120.7884043 14.8352848, 120.78818 14.8350868, 120.7880145 14.8352748, 120.7883117 14.8355088, 120.7884254 14.8353796, 120.7883672 14.8353333))"
4247888090,doctors,,,Amado Aldaba Memorial Health Center,POINT (120.7340669 14.836427800000001)
,,hospital,,,"POLYGON ((120.7334357 14.8368462, 120.7334443 14.8368619, 120.733752 14.8367582, 120.7337299 14.8366281, 120.7333745 14.8367337, 120.7334357 14.8368462))"
,,hospital,,,"POLYGON ((120.7331284 14.8368725, 120.7331908 14.8369723, 120.7334357 14.8368462, 120.7333745 14.8367337, 120.7331284 14.8368725))"
,hospital,,,Mateo-Mabborang General Hospital,"POLYGON ((120.7337647 14.8367614, 120.7333141 14.8369241, 120.7333772 14.837017, 120.7337909 14.8368817, 120.7337647 14.8367614))"
,clinic,yes,,Petron Clinic,"POLYGON ((120.5943319 14.5255901, 120.5943356 14.5253937, 120.5943386 14.5252297, 120.5942291 14.5252278, 120.5942225 14.5255882, 120.5943319 14.5255901))"
2700713137,clinic,,,Limay Emergency and birthing Facility,POINT (120.59650130000001 14.563198300000002)
,clinic,clinic,midwife;clinic,Batang 2nd Barangay Health Station,"POLYGON ((120.6188304 14.8188548, 120.6188324 14.8187083, 120.6187701 14.8187075, 120.6187681 14.818854, 120.6188304 14.8188548))"
,health_post,clinic,midwife,Mabuanbuan Health Center,"POLYGON ((120.6007772 14.8296612, 120.6007196 14.8296278, 120.6006658 14.829714, 120.6007234 14.8297475, 120.6007772 14.8296612))"
,clinic,clinic,midwife;clinic,Sebitanan Health Center,"POLYGON ((120.6171073 14.8443235, 120.6171466 14.8442569, 120.6171103 14.8442369, 120.617071 14.8443035, 120.6171073 14.8443235))"
8086778051,clinic,,clinic;midwife,Bancal Sinubli Barangay Health Center,POINT (120.5951522 14.857317700000001)
,health_post,clinic,midwife;clinic,Malusac Health Center,"POLYGON ((120.6210959 14.8577493, 120.621107 14.8576839, 120.6210035 14.8576674, 120.6209923 14.8577328, 120.6210959 14.8577493))"
8020942293,clinic,,midwife;clinic,Santa Catalina Health Center,POINT (120.5924875 14.924939700000001)
,clinic,clinic,midwife;clinic,Santa Monica Health Center,"POLYGON ((120.6246233 14.93385, 120.6246819 14.9338859, 120.6247303 14.9338122, 120.6246718 14.9337763, 120.6246233 14.93385))"
,clinic,clinic,midwife;clinic,San Juan Health Center,"POLYGON ((120.5987004 14.9345814, 120.5987364 14.9345083, 120.5986702 14.9344778, 120.5986342 14.934551, 120.5987004 14.9345814))"
,hospital,,hospital,Emilio G. Perez Memorial District Hospital,"POLYGON ((120.7328634 14.8371776, 120.7333141 14.8369241, 120.7337647 14.8367614, 120.7337499 14.836602, 120.7333194 14.836635, 120.7333523 14.8367077, 120.732782 14.8370116, 120.7328634 14.8371776))"
,,hospital,,,"POLYGON ((120.7333866 14.8370069, 120.7337595 14.8368786, 120.7337239 14.8367869, 120.7333363 14.8369275, 120.7333866 14.8370069))"
,hospital,,hospital,San Pascual Baylon Maternity and General Hospital,"POLYGON ((120.7895635 14.8374826, 120.7895448 14.8375565, 120.7896996 14.837593, 120.7897769 14.8372867, 120.7892921 14.8371725, 120.7892335 14.8374049, 120.7895635 14.8374826))"
,hospital,,,Mary Immaculate Maternity and General Hospital,"POLYGON ((120.8136986 14.8378387, 120.8136685 14.8378193, 120.8137001 14.8377734, 120.8135134 14.8376532, 120.8135607 14.8375845, 120.8134814 14.8375335, 120.8133648 14.8377027, 120.8133327 14.837682, 120.8133034 14.8377246, 120.8133857 14.8377777, 120.8134059 14.8377484, 120.8136517 14.8379067, 120.8136986 14.8378387))"
894114196,doctors,,doctor,Malolos Regional Health Unit 1,POINT (120.8135951 14.838391600000001)
,hospital,yes,,Divine Word Hospital,"POLYGON ((120.7520919 14.8392501, 120.7521108 14.8395627, 120.7523167 14.8395511, 120.7522978 14.8392384, 120.7520919 14.8392501))"
,hospital,,,Santos General Hospital,"POLYGON ((120.8118528 14.8408819, 120.8116347 14.8408071, 120.8115787 14.8409598, 120.8117968 14.8410345, 120.8118528 14.8408819))"
6351453906,clinic,,,Sayo Family Care Clnic,POINT (120.81305710000001 14.841329300000002)
10267969126,doctors,,,Mama's Pediatric Clinic,POINT (120.81172950000001 14.8419004)
10267969125,doctors,,,Conanan ENT Care Clinic,POINT (120.81178390000001 14.841918300000001)
,hospital,,hospital,Mariveles Mental Hospital,"POLYGON ((120.4836756 14.431558, 120.4841987 14.4321035, 120.484896 14.4316203, 120.4848463 14.4315416, 120.485057 14.4314125, 120.4844761 14.4299389, 120.4844362 14.429843, 120.4842817 14.4294711, 120.4839626 14.4287033, 120.483917 14.4286981, 120.4837856 14.4287708, 120.4835818 14.4295838, 120.4834852 14.429802, 120.4835925 14.4315164, 120.4836756 14.431558))"
8345877639,doctors,,,,POINT (120.483917 14.431311200000001)
,hospital,,,Maheseco MPC Hospital,"POLYGON ((120.4862398 14.4334776, 120.4859099 14.4338127, 120.4860494 14.433927, 120.4863713 14.4336023, 120.4862398 14.4334776))"
,doctors,civic,,Mariveles Rural Health Unit Ⅲ,"POLYGON ((120.4868285 14.4339185, 120.4869328 14.4338175, 120.4868469 14.4337344, 120.4867427 14.4338353, 120.4868285 14.4339185))"
,hospital,,,Mariveles District Hospital,"POLYGON ((120.4986668 14.4382321, 120.4988863 14.4376509, 120.4978157 14.4372567, 120.4975713 14.4378579, 120.4986668 14.4382321))"
,,hospital,,,"POLYGON ((120.4984291 14.4379895, 120.4984986 14.4378023, 120.4979206 14.437601, 120.4978511 14.4377881, 120.4984291 14.4379895))"
1952241361,clinic,,,Maligaya Barangay Health Center,POINT (120.49947610000001 14.452385300000001)
,clinic,yes,,NPC Infirmary Clinic,"POLYGON ((120.3966235 14.6056609, 120.3966324 14.6055634, 120.3962998 14.605566, 120.3962918 14.6056621, 120.3966235 14.6056609))"
,hospital,,,Bagac Community & Medicare Hospital,"POLYGON ((120.4011988 14.6071968, 120.4014072 14.6068269, 120.4009177 14.6066012, 120.4007201 14.6069787, 120.4011988 14.6071968))"
3315765892,clinic,,,First Aid Clinic,POINT (120.5871877 14.3879558)
4313367292,doctors,,doctor,Rural Health Unit 2,POINT (120.5909431 14.454463200000001)
,hospital,,,Orion Saint Michael Hospital,"POLYGON ((120.5779324 14.6202557, 120.5781168 14.6203225, 120.5782402 14.6199151, 120.5779046 14.6198245, 120.5777376 14.6201094, 120.5779324 14.6202557))"
,,hospital,,,"POLYGON ((120.5779405 14.6202518, 120.5781069 14.6203115, 120.5781932 14.6200268, 120.5779806 14.6199552, 120.5779575 14.6200074, 120.5778342 14.6199627, 120.5777464 14.6201132, 120.5779405 14.6202518))"
,doctors,,doctor,Orion Rural Health Unit,"POLYGON ((120.5831112 14.6235277, 120.5831216 14.6235084, 120.5831526 14.6234505, 120.5832189 14.6233271, 120.5829465 14.6231953, 120.5828408 14.6234019, 120.5831112 14.6235277))"
