osm_id,power,voltage,utility,name,geometry
12395485016,pole,,,,POINT (120.93883890000001 14.3713739)
12280436921,pole,,,,POINT (120.938184 14.3707489)
12290235168,pole,,,,POINT (120.938595 14.3708226)
12290235169,pole,,,,POINT (120.93859900000001 14.3708226)
12290235172,pole,,,,POINT (120.93860210000001 14.370923600000001)
12280436926,pole,,,,POINT (120.93785070000001 14.3709249)
1328391527,minor_line,,,,"LINESTRING (120.9386021 14.3709236, 120.9385901 14.3709324, 120.9385774 14.3709379, 120.9385628 14.370933)"
12290235173,pole,,,,POINT (120.93859010000001 14.370932400000001)
12290235175,pole,,,,POINT (120.93856280000001 14.370933)
12290235174,pole,,,,POINT (120.93857740000001 14.370937900000001)
12280436922,pole,,,,POINT (120.93838380000001 14.371042000000001)
12280436927,pole,,,,POINT (120.9380452 14.371170500000002)
2307226338,tower,,,,POINT (120.93861070000001 14.3712382)
12248317347,pole,,,,POINT (120.93861770000001 14.371255000000001)
12248317348,pole,,,,POINT (120.93861000000001 14.3712551)
12248317349,pole,,,,POINT (120.93860240000001 14.3712552)
12280436918,pole,,,,POINT (120.938253 14.371408800000001)
12280436917,pole,,,,POINT (120.9384153 14.371594000000002)
1327412952,minor_line,,,,"LINESTRING (120.9384479 14.3717609, 120.9384153 14.371594)"
12237151409,pole,,,,POINT (120.93844790000001 14.371760900000002)
12237151407,pole,,,,POINT (120.93771260000001 14.371762200000001)
12395485017,pole,,,,POINT (120.9388375 14.3713811)
12395485018,pole,,,,POINT (120.93883550000001 14.3713911)
12395485023,pole,,,,POINT (120.93884790000001 14.371465200000001)
12395485022,pole,,,,POINT (120.9388473 14.371486)
12395485021,pole,,,,POINT (120.9388476 14.371496)
12520455990,pole,,,,POINT (120.93910460000001 14.371700500000001)
12520455977,pole,,,,POINT (120.9398295 14.3718765)
12520455991,pole,,,,POINT (120.93937620000001 14.3718804)
12520456005,pole,,,,POINT (120.93887840000001 14.371995900000002)
1353133947,minor_line,,,,"LINESTRING (120.9389444 14.3720155, 120.9388784 14.3719959)"
1323620404,minor_line,,,,"LINESTRING (120.9377126 14.3717622, 120.9380948 14.37177, 120.9384479 14.3717609, 120.9386427 14.371779)"
12237151408,pole,,,,POINT (120.9380948 14.371770000000001)
12248317364,pole,,,,POINT (120.9386427 14.371779)
12248317360,pole,,,,POINT (120.93863990000001 14.371785000000001)
12248317363,pole,,,,POINT (120.9386467 14.3717865)
12248317359,pole,,,,POINT (120.93864370000001 14.371791600000002)
12248317362,pole,,,,POINT (120.9386489 14.371794000000001)
12248317361,pole,,,,POINT (120.9386484 14.371805100000001)
12248317381,pole,,,,POINT (120.938653 14.3720779)
12248317382,pole,,,,POINT (120.93866070000001 14.3720803)
12520456003,pole,,,,POINT (120.93894440000001 14.372015500000002)
1353133955,minor_line,,,,"LINESTRING (120.9404846 14.3726294, 120.9401752 14.3724387, 120.9399227 14.3722637, 120.9396632 14.372087, 120.9393762 14.3718804, 120.9391046 14.3717005, 120.9388476 14.371496)"
12520455992,pole,,,,POINT (120.93966320000001 14.372087)
1353133954,minor_line,,,,"LINESTRING (120.9408541 14.3728035, 120.9398295 14.3718765, 120.9388389 14.3713739)"
12520455912,pole,,,,POINT (120.9388727 14.372102700000001)
12520456004,pole,,,,POINT (120.9388729 14.372118200000001)
12520455993,pole,,,,POINT (120.93992270000001 14.372263700000001)
12520455994,pole,,,,POINT (120.94017520000001 14.3724387)
12520455913,pole,,,,POINT (120.9388835 14.3724389)
12520455914,pole,,,,POINT (120.9388897 14.3725579)
12248317383,pole,,,,POINT (120.93866120000001 14.372085700000001)
12248317384,pole,,,,POINT (120.9386645 14.372242300000002)
