longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_250years,return_level_500years,return_level_1000years
122.3505596633845_16.850077076649193,285.3738789772125,329.5270883408733,362.9277018344712,396.3283153280689,440.4815246917298,473.8821381853277,507.2827516789255
122.75056149309724_7.9500363655407185,115.65803666274161,147.29614393487842,171.22944817018373,195.16275240548904,226.80085967762585,250.73416391293114,274.6674681482365
120.75055234453355_17.050077991505564,366.4652428027871,485.81293259418965,576.0959746544856,666.3790167147815,785.726706506184,876.0097485664801,966.292790626776
122.3505596633845_13.65006243894727,371.4060651857545,422.21914925070774,460.65776346995005,499.0963776891923,549.9094617541455,588.3480759733877,626.78669019263
124.95057155651732_6.150028131833386,65.38856017699543,81.22297983189898,93.2012558940722,105.17953195624543,121.013951611149,132.99222767332222,144.97050373549544
125.0505720139455_8.250037737825274,177.93010076083823,203.13452447772477,209.69044052439023,212.36044349318723,213.635474476561,213.9671224514479,214.10219145953772
125.55057430108643_9.050041397250753,297.3864651190684,335.58011883836804,364.47250252172864,393.3648862050892,431.5585399243888,460.45092360774936,489.34330729110997
124.35056881194821_8.150037280397088,146.04610587048464,161.13154949082912,172.5432470549314,183.9549446190337,199.0403882393782,210.4520858034805,221.86378336758276
119.45054639796713_10.750049173529902,189.06584595713218,223.51608627240697,249.57668703315423,275.63728779390146,310.0875281091762,336.14812886992354,362.20872963067075
121.15055417424628_18.350083938071972,369.758052415904,427.9763246840962,472.01674752808816,516.0571703720801,574.2754426402723,618.3158654842644,662.3562883282563
126.55057887536827_7.350033620971606,170.4077619365132,188.9767719572851,193.52740371466513,195.29213066456657,196.0904320477145,196.28606852063632,196.36193599894608
126.25057750308372_7.750035450684347,170.38802003735844,234.0396198752443,282.1901963582333,330.34077284122225,393.99237267910814,442.1429491620971,490.29352564508616
121.0505537168181_15.250069757798233,287.99023188769723,321.8450458311429,329.9966038703528,333.1123025635855,334.499378765508,334.8333588069777,334.9610130754951
123.95056698223546_10.950050088386272,239.67593289670882,297.3308229532166,340.94506360631385,384.5593042594111,442.2141943159189,485.82843496901614,529.4426756221135
125.0505720139455_8.050036822968902,193.45892774656755,218.67029734199207,222.59693418220942,223.64950796635452,223.96735900315258,224.01686387380502,224.0301341432892
120.65055188710535_15.350070215226417,378.66741047029035,404.0504318451729,407.7117821186099,408.63427836597765,408.89476321226675,408.93233660627294,408.94180341834584
118.25054090882891_9.250042312107125,133.91656338952714,181.23803029967678,217.0353381057279,252.83264591177897,300.1541128219286,335.95142062797976,371.74872843403085
