TC_Event_No,Total_Economic_Impact_USD
2011205N12130,0.26382523433632565
2011233N12129,9.958632875226717
2011266N13139,2.4690957474999946
2011270N18139,0.15417611766793174
2011282N08136,0.0
2011346N03156,0.13986301224911693
2012046N08130,0.0
2012177N11135,0.0
2012201N15129,0.0
2012225N16133,0.0
2012296N06135,0.42117770736760185
2012317N07118,0.0
2012331N03157,0.21779279891658704
2012359N08134,0.05813590844838383
2013001N04141,0.0
2013049N05131,0.0
2013178N09133,0.0
2013196N14128,0.0
2013210N13122,0.0
2013217N11118,0.0
2013220N12137,0.12885520084194702
2013282N14132,0.5355224069316115
2013301N13142,19.39363945192868
2013305N07141,0.0
2013306N07162,181.23881849260982
2013316N06130,0.0
2014029N10143,0.16974692066111233
2014080N08128,0.0
2014190N08154,36.802374855672156
2014254N10142,2.170092393321071
2014260N13135,0.9115242744582852
2014329N08131,0.0
2014334N02156,59.2788220600727
2014362N07130,0.03621732411430562
2015012N09146,6.787471999076903
2015069N04173,0.0
2015085N06162,0.018494140025914103
2015122N07144,4.679247908876528
2015183N13130,0.025250285769597064
2015203N16126,0.0
2015226N12151,79.77364403958853
2015273N12130,0.0
2015285N14151,10.69020617367811
2015344N07145,0.489733562757825
2015348N04146,0.0
2016211N11128,0.22139033508577
2016279N19130,0.0
2016287N12131,1.1467899855152048
2016288N06146,48.21359924326866
2016328N09130,0.0937762831658937
2016355N07146,1.2494284592831004
2017008N08128,0.0
2017104N11130,0.0
2017161N13119,0.0
2017202N19124,0.0
2017232N19130,0.0
2017236N15129,0.0
2017242N19122,0.0
2017247N16132,0.0
2017253N14130,0.0
2017284N15134,0.0
2017291N09116,0.0
2017304N11127,0.0
2017312N10134,0.0
2017321N07124,0.0
2017347N11131,1.2022478025399583
2017354N08134,0.0
2017364N07138,0.22404269673965926
2018039N08151,0.0750220828296699
2018195N19138,0.0
2018202N18116,0.0
2018250N12170,116.08114142762582
2018294N08161,4.876948456815334
2018311N07179,0.0
2018358N07140,2.0082716746305262
2019004N03175,0.0
2019071N04161,0.0
2019195N13136,0.0
2019236N08143,0.0
2019242N18126,0.0
2019302N11118,0.0
2019314N14136,6.010254256219363
2019329N09160,332.27637311571686
2019354N05151,0.8446858874970194
2020129N07134,0.06700767615324557
2020160N10133,0.0
2020195N17125,0.0
2020211N14124,0.0
2020229N18123,0.0
2020234N19123,0.0
2020258N11127,0.0
2020281N14126,0.0
2020285N17120,0.0
2020288N13124,0.0
2020291N06141,0.0
2020296N09137,14.155261464168062
2020299N11144,13.257544062930545
2020312N10131,0.0
2020313N08135,12.022563366322075
2020353N06129,0.01910869359430636
2021046N06142,0.0
2021132N06132,0.0
2021148N05142,0.9458393485963119
2021185N13121,0.0
2021248N11131,0.0
2021248N12141,0.03404635219268712
2021276N07131,0.0
2021280N14137,0.5355197539915484
2021296N06127,0.0
2021346N05145,46.55578512972798
2022099N11128,0.08605932971198468
2022232N18131,0.0408662278526523
2022264N17132,2.267984839376333
2022285N17140,0.166741826244065
2022292N21132,0.0
2022299N11134,6.225785303539874
2022301N07140,0.0
2022342N06133,0.0
2023101N14127,0.0
2023194N16123,0.0
2023201N13134,46.990971342839686
2023234N18128,3.0803461521185675
2023349N04141,0.0
2024145N08130,0.0
2024245N12129,0.16324886347342313
2024259N17126,0.0
2024293N13141,1.546852316742807
2024308N08140,5.848182121306031
2024313N10169,11.423401572094402
2024313N15138,0.017374887772444815
2024314N07151,5.13295784401267
