longitude_latitude,return_level_10years,return_level_25years,return_level_50years,return_level_100years,return_level_150years,return_level_250years,return_level_500years
21.1500967460611555_49.9502284853784744,123.89754968569258,230.6685505695971,374.6395125026546,613.1185045013591,819.7741402536524,1183.989053055432,1953.7559498174908
21.1500967460611555_50.0502289428066547,30.594815087358434,31.143607151778177,31.402073531116187,31.574670763099412,31.647657975160676,31.718167002542593,31.785749892059613
21.1500967460611555_50.1502294002348421,27.276438191967173,27.33518681967101,27.353519943584487,27.362198250194517,27.364962308114638,27.367096382951708,27.36862489652372
21.1500967460611555_50.2502298576630295,37.753579584396405,43.75236878523938,48.5948013730049,53.716299838836385,56.847937580993765,60.94229417292915,66.7753696938197
21.1500967460611555_50.3502303150912098,43.242068195791475,52.7321323273172,60.88175216490829,69.97495897898636,75.77469563731466,83.63102320396885,95.35820759059771
21.1500967460611555_50.4502307725193972,67.50405122113712,95.18569742412558,123.38411552828379,159.8865328166566,186.03774790721675,225.13490606502592,291.60136170793663
21.1500967460611555_50.5502312299475847,96.84088571723753,163.0147098017867,243.27018573093514,364.33286080915184,461.97032822636237,623.6126293081098,938.0665921484111
21.1500967460611555_50.6502316873757650,64.31212628136358,87.7928660047467,110.63221460124159,139.02958951153167,158.74501445762917,187.4410117763205,234.53004569021135
21.1500967460611555_50.7502321448039524,51.357203766136664,64.37116145545015,75.94116050266135,89.24474126167512,97.93268238207821,109.93830337882865,128.33581931477474
21.1500967460611555_50.8502326022321398,50.38524611201631,66.0091451540871,80.80998759175337,98.7939977225103,111.05728916062537,128.63578866075986,156.90553391099976
21.1500967460611555_50.9502330596603201,41.31698502149095,47.08105114031232,51.42566564750356,55.75677496838829,58.28406765804918,61.46153482800632,65.76144776016518
21.1500967460611555_51.0502335170885075,57.40715730485687,78.3062639236685,99.34490755367682,126.2989600987883,145.45465098552447,173.89690739075274,221.8126517744952
21.1500967460611555_51.1502339745166950,38.06381942779735,39.514017176757385,40.28810660756135,40.862739117795336,41.12753709408124,41.40171159986989,41.689405400365224
21.1500967460611555_51.2502344319448753,70.3104100529311,100.561445763365,132.01286970118545,173.45916014062294,203.5672490295705,249.11768945655513,327.77841706948317
21.1500967460611555_51.3502348893730627,149.51240225633927,306.60862895722653,534.7076009408318,938.1577252664162,1305.720704074692,1982.6281418783917,3499.167611346972
21.1500967460611555_51.4502353468012501,34.915218815116695,35.570186057733494,35.871998630062166,36.06986793180069,36.15229698654358,36.23097495743754,36.30521397683248
21.1500967460611555_51.5502358042294304,33.88263020541002,33.94599860620776,33.96292639437629,33.96997344279718,33.971989292671225,33.973421466957134,33.97434254784043
21.1500967460611555_51.6502362616576178,54.379160425126734,64.71166628854719,73.01413282934354,81.76022742482029,87.09143502842917,94.04323187198862,103.91298029420813
21.1500967460611555_51.7502367190858052,42.14414252144812,44.71046656032061,46.2322545259958,47.467555568161,48.0793411576689,48.75108786754226,49.512201420299995
21.1500967460611555_51.8502371765139856,36.29384669511643,37.033162711508226,37.37207214696071,37.593288664255034,37.68511427670527,37.77250988094892,37.85466657717101
21.1500967460611555_51.9502376339421730,29.78853641117804,29.801222965573864,29.803759558525638,29.804592369368756,29.804787255997034,29.804906067849576,29.804968789793655
21.1500967460611555_52.0502380913703604,27.276296094400216,27.286767722669907,27.288915867003336,27.289636056295905,27.28980761755094,27.289913625539167,27.289970565948217
21.1500967460611555_52.1502385487985407,35.99920241222628,38.332752003768285,39.79563867226259,41.04080652051166,41.68140643177937,42.40708509659359,43.263596019542916
21.1500967460611555_52.2502390062267281,37.12169485577752,44.48598004737464,50.89736469213831,58.13657455881754,62.79714004268567,69.16026160325572,78.75754036237221
21.1500967460611555_52.3502394636549155,33.53348650278441,37.214896354732716,39.9504304975687,42.64417985682759,44.200807319879075,46.1420785629234,48.7412516307205
21.1500967460611555_52.4502399210830959,34.46752940284991,36.670879948190134,38.06268227215717,39.25505944698268,39.87169835714171,40.57322494373289,41.405877653321056
21.1500967460611555_52.5502403785112833,29.35804714520905,29.39716030014886,29.407586100450196,29.411918626990765,29.413156115494218,29.414034283746645,29.414598222270065
21.1500967460611555_52.6502408359394707,31.807735559943584,31.809665588565593,31.809920749078085,31.809980680655496,31.809991194749617,31.809996367909182,31.80999844185132
21.1500967460611555_52.7502412933676510,101.98821383930894,188.1020160606697,304.7438694282793,498.7272607625431,667.3393267329035,965.3010656801588,1597.2791218629873
