,value,region_id,impf_,geometry
1876,1358207.7622078208,203,1,POINT (15.55 50.21666667)
1877,931974.9186204798,203,1,POINT (15.58333333 50.21666667)
1878,1004856.7418628538,203,1,POINT (15.61666667 50.21666667)
1879,1084104.8683476236,203,1,POINT (15.65 50.21666667)
1880,3133369.824498252,203,1,POINT (15.68333333 50.21666667)
1881,8501669.318946777,203,1,POINT (15.71666667 50.21666667)
1882,148211447.26755196,203,1,POINT (15.75 50.21666667)
1883,1443264315.4392762,203,1,POINT (15.78333333 50.21666667)
1884,3037245142.807857,203,1,POINT (15.81666667 50.21666667)
1885,3052416292.135886,203,1,POINT (15.85 50.21666667)
1886,1312691170.0209732,203,1,POINT (15.88333333 50.21666667)
1887,204961597.95545238,203,1,POINT (15.91666667 50.21666667)
1888,10216368.341954963,203,1,POINT (15.95 50.21666667)
1889,40228196.77757945,203,1,POINT (15.98333333 50.21666667)
1890,15132276.756133525,203,1,POINT (16.01666667 50.21666667)
1891,2681141.738192487,203,1,POINT (16.05 50.21666667)
1892,2212370.337208119,203,1,POINT (16.08333333 50.21666667)
1893,2031418.0686708093,203,1,POINT (16.11666667 50.21666667)
1894,1264080.313265526,203,1,POINT (16.15 50.21666667)
1895,1573414.7658551517,203,1,POINT (16.18333333 50.21666667)
1896,9979155.105747534,203,1,POINT (16.21666667 50.21666667)
1897,118433040.66699503,203,1,POINT (16.25 50.21666667)
1898,43380245.94431573,203,1,POINT (16.28333333 50.21666667)
1899,3551972.825694752,203,1,POINT (16.31666667 50.21666667)
1900,330143.8881666793,203,1,POINT (16.35 50.21666667)
1901,141420.77546432213,203,1,POINT (16.38333333 50.21666667)
1902,241109.39471838146,203,1,POINT (16.41666667 50.21666667)
1903,262517.58987254876,203,1,POINT (16.45 50.21666667)
1904,276119.44318971754,203,1,POINT (16.48333333 50.21666667)
1905,212894.26931721024,203,1,POINT (16.51666667 50.21666667)
1906,209245.92264709456,203,1,POINT (16.98333333 50.21666667)
1907,197417.74607938388,203,1,POINT (17.01666667 50.21666667)
1908,470006.5572272588,203,1,POINT (17.05 50.21666667)
1909,712033.6862576113,203,1,POINT (17.08333333 50.21666667)
1910,869103.841671033,203,1,POINT (17.11666667 50.21666667)
1911,2768609.982394698,203,1,POINT (17.15 50.21666667)
1912,108520482.79960999,203,1,POINT (17.18333333 50.21666667)
1913,147464658.20311683,203,1,POINT (17.21666667 50.21666667)
1914,13582915.1308484,203,1,POINT (17.25 50.21666667)
1915,2733181.224367879,203,1,POINT (17.28333333 50.21666667)
1916,634488.4875431256,203,1,POINT (17.31666667 50.21666667)
1917,660985.3666668045,203,1,POINT (17.35 50.21666667)
1918,606600.7160400515,203,1,POINT (17.38333333 50.21666667)
1919,540984.1228286128,203,1,POINT (17.41666667 50.21666667)
1920,441723.36381258763,203,1,POINT (17.45 50.21666667)
1921,619412.5705233015,203,1,POINT (17.48333333 50.21666667)
1922,683510.5190284958,203,1,POINT (17.51666667 50.21666667)
1923,627806.7684768864,203,1,POINT (17.55 50.21666667)
1924,478823.4556401592,203,1,POINT (17.58333333 50.21666667)
1925,356898.97466968535,203,1,POINT (17.61666667 50.21666667)
1926,311322.555674418,203,1,POINT (17.65 50.21666667)
1927,277224.92608498974,203,1,POINT (17.68333333 50.21666667)
1928,261366.75180468426,203,1,POINT (17.71666667 50.21666667)
1929,36899104.31730177,203,1,POINT (12.18333333 50.18333333)
1930,39862282.86553546,203,1,POINT (12.21666667 50.18333333)
1931,6388996.3565073665,203,1,POINT (12.25 50.18333333)
1932,1146863.1713513886,203,1,POINT (12.31666667 50.18333333)
1933,11594220.86040845,203,1,POINT (12.35 50.18333333)
1934,5980036.563147387,203,1,POINT (12.38333333 50.18333333)
1935,459862.4701245976,203,1,POINT (12.41666667 50.18333333)
1936,212334.40314067854,203,1,POINT (12.45 50.18333333)
1937,641062.1358385757,203,1,POINT (12.48333333 50.18333333)
