,value,region_id,impf_,geometry
237,8037628.007986604,40,1,POINT (16.11666667 48.71666667)
238,3383488.4802393666,40,1,POINT (16.15 48.71666667)
239,4935641.113355727,40,1,POINT (16.18333333 48.71666667)
240,1508770.2494259502,40,1,POINT (16.21666667 48.71666667)
241,5931126.654315758,40,1,POINT (16.25 48.71666667)
242,55282701.41138362,40,1,POINT (16.28333333 48.71666667)
243,7474950.7993929265,40,1,POINT (16.31666667 48.71666667)
244,12258263.551363146,40,1,POINT (16.35 48.71666667)
245,109959936.57728696,40,1,POINT (16.38333333 48.71666667)
246,51788570.71463916,40,1,POINT (16.41666667 48.71666667)
247,5191793.860029591,40,1,POINT (16.45 48.71666667)
248,6570580.443401567,40,1,POINT (16.48333333 48.71666667)
249,5229753.452929805,40,1,POINT (16.51666667 48.71666667)
250,1085166.7387651408,40,1,POINT (16.55 48.71666667)
251,947414.9381203909,40,1,POINT (16.58333333 48.71666667)
252,2142600.3304809104,40,1,POINT (16.61666667 48.71666667)
253,2501046.6773965363,40,1,POINT (16.65 48.71666667)
254,1327431.8820982808,40,1,POINT (16.68333333 48.71666667)
255,1454698.5668657576,40,1,POINT (16.71666667 48.71666667)
256,1585833.19859123,40,1,POINT (16.75 48.71666667)
257,5855349.256480418,40,1,POINT (16.85 48.71666667)
258,1339915.589851739,40,1,POINT (13.81666667 48.68333333)
259,1483650.3511106865,40,1,POINT (13.85 48.68333333)
260,1381544.3297876765,40,1,POINT (13.88333333 48.68333333)
261,1357277.248124679,40,1,POINT (13.91666667 48.68333333)
262,1470315.094449218,40,1,POINT (13.95 48.68333333)
263,1763338.2865159614,40,1,POINT (13.98333333 48.68333333)
264,226463.55220779218,40,1,POINT (14.71666667 48.68333333)
265,463051.39914551243,40,1,POINT (14.75 48.68333333)
266,490685.16537387815,40,1,POINT (14.78333333 48.68333333)
267,563362.493660546,40,1,POINT (14.81666667 48.68333333)
268,839211.93489811,40,1,POINT (14.85 48.68333333)
269,10350776.794656843,40,1,POINT (14.88333333 48.68333333)
270,7021424.581304576,40,1,POINT (14.91666667 48.68333333)
271,1772000.6148899482,40,1,POINT (14.95 48.68333333)
272,1519828.1054901476,40,1,POINT (14.98333333 48.68333333)
273,1120462.5809773637,40,1,POINT (15.01666667 48.68333333)
274,927314.7854274452,40,1,POINT (15.05 48.68333333)
275,903462.7346663715,40,1,POINT (15.08333333 48.68333333)
276,1071360.3402102492,40,1,POINT (15.11666667 48.68333333)
277,1570561.3278259172,40,1,POINT (15.15 48.68333333)
278,1663515.5318350529,40,1,POINT (15.18333333 48.68333333)
279,1432137.295379677,40,1,POINT (15.21666667 48.68333333)
280,1082331.1275484518,40,1,POINT (15.25 48.68333333)
281,837559.3469187779,40,1,POINT (15.28333333 48.68333333)
282,719731.8404755644,40,1,POINT (15.31666667 48.68333333)
283,2382471.7082234267,40,1,POINT (15.35 48.68333333)
284,8246184.150730988,40,1,POINT (15.38333333 48.68333333)
285,1088562.8580600396,40,1,POINT (15.41666667 48.68333333)
286,702086.4722387531,40,1,POINT (15.45 48.68333333)
287,662217.0997755382,40,1,POINT (15.48333333 48.68333333)
288,671438.0423343619,40,1,POINT (15.51666667 48.68333333)
289,835622.9080437309,40,1,POINT (15.55 48.68333333)
290,1983171.7942275158,40,1,POINT (15.58333333 48.68333333)
291,13839792.561590945,40,1,POINT (15.61666667 48.68333333)
292,165234285.47877344,40,1,POINT (15.65 48.68333333)
293,54573257.923391804,40,1,POINT (15.68333333 48.68333333)
294,7211633.2706888085,40,1,POINT (15.71666667 48.68333333)
295,6741970.666106683,40,1,POINT (15.75 48.68333333)
296,2789425.651539045,40,1,POINT (15.78333333 48.68333333)
297,5790899.433650428,40,1,POINT (15.81666667 48.68333333)
298,17208044.462727245,40,1,POINT (15.85 48.68333333)
299,5806985.188376499,40,1,POINT (15.88333333 48.68333333)
300,2026000.0253952364,40,1,POINT (15.91666667 48.68333333)
301,1904702.9672481527,40,1,POINT (15.95 48.68333333)
302,1774295.5356093727,40,1,POINT (15.98333333 48.68333333)
303,1887714.599914166,40,1,POINT (16.01666667 48.68333333)
304,1933244.346175188,40,1,POINT (16.05 48.68333333)
